phase,tag,x_bx,x_by,x_lb,y_bx,y_by,y_lb,repeat,measured_steps,wall_ms,ms_per_step,x_ms_per_step,y_ms_per_step,state_hash,correctness,binary
y,y_x16x8_lb3_y32x4_lb3,16,8,3,32,4,3,2,500,1871.759528000,3.743519056,1.396369410,2.148073447,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y32x4_lb3/main_gpu
y,y_x16x8_lb3_y32x4_lb3,16,8,3,32,4,3,3,500,1868.563564000,3.737127128,1.395314689,2.142021635,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y32x4_lb3/main_gpu
y,y_x16x8_lb3_y32x4_lb3,16,8,3,32,4,3,4,500,1872.810345000,3.745620690,1.398452222,2.147366892,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y32x4_lb3/main_gpu
y,y_x16x8_lb3_y32x4_lb3,16,8,3,32,4,3,5,500,1871.511692000,3.743023384,1.396398082,2.146113519,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y32x4_lb3/main_gpu
y,y_x16x8_lb3_y8x16_lb0,16,8,3,8,16,0,1,500,1669.099845000,3.338199690,1.396615169,1.744578570,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y8x16_lb0/main_gpu
y,y_x16x8_lb3_y8x16_lb0,16,8,3,8,16,0,2,500,1668.971052000,3.337942104,1.396312064,1.744592903,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y8x16_lb0/main_gpu
y,y_x16x8_lb3_y8x16_lb0,16,8,3,8,16,0,3,500,1669.199923000,3.338399846,1.397319682,1.744275461,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y8x16_lb0/main_gpu
y,y_x16x8_lb3_y8x16_lb0,16,8,3,8,16,0,4,500,1668.867156000,3.337734312,1.396172801,1.744560134,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y8x16_lb0/main_gpu
y,y_x16x8_lb3_y8x16_lb0,16,8,3,8,16,0,5,500,1669.850867000,3.339701734,1.397467137,1.745467397,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y8x16_lb0/main_gpu
y,y_x16x8_lb3_y8x16_lb2,16,8,3,8,16,2,1,500,1675.975792000,3.351951584,1.398935551,1.756407812,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y8x16_lb2/main_gpu
y,y_x16x8_lb3_y8x16_lb2,16,8,3,8,16,2,2,500,1675.160989000,3.350321978,1.396406272,1.755691010,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y8x16_lb2/main_gpu
y,y_x16x8_lb3_y8x16_lb2,16,8,3,8,16,2,3,500,1675.415648000,3.350831296,1.398210559,1.756391426,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y8x16_lb2/main_gpu
y,y_x16x8_lb3_y8x16_lb2,16,8,3,8,16,2,4,500,1674.391661000,3.348783322,1.396897795,1.756022787,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y8x16_lb2/main_gpu
